channel,time_on_page,device_tier,loan_amount_requested,hour_of_day,monthly_income,existing_emi,rent,total_obligations,dti_ratio,avg_monthly_balance,bounce_count_6m,income_stability_score,converted,defaulted
app,25.923032025392114,low,145356.8791246312,10,41129.395726371105,13826.693569942076,4327.470026326112,18154.163596268187,0.441391449488965,36013.92336813435,2,0.6826797415389272,0,0
sms,94.22326716781467,low,129033.42175576613,3,61408.77655187254,5723.767592817394,28428.8192189593,34152.586811776695,0.5561515589376332,118145.72167445824,0,0.6893468907253971,1,0
web,33.59794276407819,mid,102457.20929700752,0,30594.61276302241,13228.706826466207,9163.944331702602,22392.65115816881,0.7319148417277325,39874.703661855296,1,0.5594150713810241,0,0
app,68.43830301471647,mid,68995.84923995058,11,23610.171134103173,6760.660462805011,6306.136214238583,13066.796677043594,0.553439303884145,14168.505723600665,0,0.3146110257218222,1,0
whatsapp,97.21106283439374,high,77162.024644508,0,56635.38690372709,20133.544840214152,5229.560723474739,25363.105563688892,0.44783141689846534,11979.435326964805,0,0.46038366091520005,1,0
whatsapp,95.68742634860394,high,52919.49140111775,16,85798.9508087708,21266.303987173134,7103.552222975578,28369.85621014871,0.33065504814131835,105216.53081065258,2,0.8941743453195192,1,0
whatsapp,188.57181416144485,mid,120455.17336144258,19,39100.56796026461,6253.721633691725,12640.334897905906,18894.05653159763,0.483216933083899,60349.372157925645,0,0.7993447030729667,1,0
web,53.0015878518071,mid,19060.449578342686,8,23354.53135142273,6437.828576118649,6248.020637001226,12685.849213119875,0.5431857750529029,9273.580698321815,1,0.7926075750138648,1,1
app,31.13041494894903,mid,27050.51993620732,7,36209.514681952154,10566.838194074664,3205.071915174766,13771.910109249431,0.38033953866036596,37632.74031114343,1,0.8214299842342153,0,0
web,71.84636317733572,low,54639.06648339593,3,23935.696867066115,9018.734643283842,10323.630364105473,19342.365007389315,0.8080970073615483,46669.25355625299,0,0.7760391830531361,0,0
whatsapp,55.21100989579165,mid,111956.51955043532,7,51950.675174089534,16133.910340324175,5379.037983178118,21512.948323502293,0.41410334420892964,56612.78530014522,0,0.7548808594795644,1,0
sms,47.78530956278614,mid,97567.03151603519,22,35408.02975242666,4160.823576561391,6403.486968824484,10564.310545385875,0.2983591750021578,61481.70234233901,0,0.8969377048020273,0,0
web,42.68932835813275,high,212445.09033755393,21,22834.291011209807,1409.087005402784,1039.6864523382649,2448.773457741049,0.10724105497906185,10347.116720642716,1,0.8627850262933597,1,0
whatsapp,83.08848773559018,low,87033.24497334738,9,40123.32928709573,19746.90097297889,13409.452458512,33156.35343149089,0.8263609730450377,40669.71114656856,0,0.8001438549794696,1,0
whatsapp,37.87011683065997,low,162280.36854668052,17,26168.515938086864,10120.720168880198,1694.4926365001834,11815.21280538038,0.4515048859986735,21880.01484642349,1,0.7957784970744421,1,0
whatsapp,111.32592464399407,low,108613.2339630495,14,18816.13919348577,2804.4892483315825,4005.684665631553,6810.173913963135,0.3619325858474116,4720.203453064387,1,0.44849195413652104,1,0
whatsapp,107.73401912908662,mid,21651.875405884162,18,53084.415911685996,12963.974314501978,20272.177622276013,33236.15193677799,0.626099983695241,60411.98829793038,0,0.7480841974276343,1,0
app,88.54000662646526,mid,48182.917974016025,19,42163.727454874985,11468.954950333295,3884.4233908799056,15353.3783412132,0.3641371213597017,38694.84010561493,3,0.6622838571181217,0,1
app,27.371296453140967,mid,52924.206094626395,22,28722.179593775818,11080.693755413282,7885.274665742595,18965.968421155878,0.6603248322166282,37367.52628321374,3,0.9258810075677342,0,1
whatsapp,80.40143719086798,high,61748.0108583699,23,68599.22878313967,20202.811568578403,13922.81494922847,34125.62651780687,0.4974637051050095,81199.2976095121,0,0.4846504615984944,1,0
app,135.2063656156473,mid,81497.7683185987,10,25000.007701031755,12201.881828036108,1879.5260934759337,14081.407921512042,0.5632561433543438,25406.116667061022,1,0.7865136928325468,0,0
whatsapp,116.85160594650154,low,186146.41627354512,23,29221.467523755542,4609.42776869499,8979.508635209002,13588.936403903992,0.465032647414333,11161.574117666562,1,0.7042122505274574,1,0
whatsapp,105.87055781770613,high,91080.56953530668,3,43805.92016390594,2461.7946144659236,11106.673777747277,13568.4683922132,0.3097405177529633,43667.36141579885,1,0.745449710476541,1,0
app,67.672526263862,high,66904.60649621919,8,56282.139572328866,20310.608693211263,997.5534749701553,21308.162168181418,0.37859545372823006,109634.49962339745,0,0.817966779484107,1,0
app,65.42310191311296,mid,168493.33382499273,7,44156.036394612376,7043.805457215931,4331.686167036518,11375.491624252449,0.25762030637424715,30629.042899053315,3,0.9739409303092215,1,0
web,150.03464633327633,high,167782.30612645228,15,27392.417116017867,2802.921897304794,1246.1851404183253,4049.1070377231194,0.1478185375380905,24459.6490996137,0,0.9562654336358781,1,0
whatsapp,82.14194370992671,mid,15887.596133859954,12,32251.64352694664,9208.412139053824,761.1676508116738,9969.579789865498,0.3091185037294547,55300.216459006995,0,0.8639324612472138,1,0
app,82.8848513403496,mid,97009.51819247827,4,26300.620188955203,4253.403693756809,9178.53592110992,13431.93961486673,0.5107080942717616,29879.55660233301,0,0.4452326416073814,1,0
